"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
22566410;"2022.10.27 15:34:04";27.10.2022;"15:34:04";"buy";0,04;".de40cash";13.156,00;0,00;0,00;"2022.10.27 15:58:55";27.10.2022;"15:58:55";13.165,80;"0.00";"0.00";0,00;0,39
22567165;"2022.10.27 15:36:14";27.10.2022;"15:36:14";"buy";0,04;".de40cash";13.149,80;0,00;0,00;"2022.10.27 15:46:46";27.10.2022;"15:46:46";13.165,30;"0.00";"0.00";0,00;0,62
22567865;"2022.10.27 15:37:56";27.10.2022;"15:37:56";"buy";0,04;".de40cash";13.139,80;0,00;0,00;"2022.10.27 15:46:40";27.10.2022;"15:46:40";13.161,30;"0.00";"0.00";0,00;0,86
22568485;"2022.10.27 15:38:52";27.10.2022;"15:38:52";"buy";0,04;".de40cash";13.129,80;0,00;0,00;"2022.10.27 15:46:37";27.10.2022;"15:46:37";13.162,00;"0.00";"0.00";0,00;1,29
22570084;"2022.10.27 15:47:44";27.10.2022;"15:47:44";"buy";0,04;".de40cash";13.145,00;0,00;0,00;"2022.10.27 15:54:47";27.10.2022;"15:54:47";13.151,60;"0.00";"0.00";0,00;0,26
22570682;"2022.10.27 15:48:12";27.10.2022;"15:48:12";"buy";0,04;".de40cash";13.130,00;0,00;0,00;"2022.10.27 15:53:29";27.10.2022;"15:53:29";13.147,50;"0.00";"0.00";0,00;0,70
22571549;"2022.10.27 15:51:32";27.10.2022;"15:51:32";"buy";0,07;".de40cash";13.126,00;0,00;0,00;"2022.10.27 15:51:37";27.10.2022;"15:51:37";13.125,30;"0.00";"0.00";0,00;-0,05
22572405;"2022.10.27 15:56:01";27.10.2022;"15:56:01";"buy";0,04;".de40cash";13.140,80;0,00;0,00;"2022.10.27 15:56:18";27.10.2022;"15:56:18";13.147,80;"0.00";"0.00";0,00;0,28
22572962;"2022.10.27 15:56:35";27.10.2022;"15:56:35";"buy";0,04;".de40cash";13.140,50;0,00;0,00;"2022.10.27 15:56:43";27.10.2022;"15:56:43";13.146,80;"0.00";"0.00";0,00;0,25
22613584;"2022.10.28 09:36:24";28.10.2022;"09:36:24";"buy";0,04;".de40cash";13.110,30;0,00;0,00;"2022.10.28 10:08:51";28.10.2022;"10:08:51";13.109,50;"0.00";"0.00";0,00;-0,03
22614500;"2022.10.28 09:45:02";28.10.2022;"09:45:02";"buy";0,04;".de40cash";13.097,70;0,00;0,00;"2022.10.28 10:06:19";28.10.2022;"10:06:19";13.102,10;"0.00";"0.00";0,00;0,18
22615493;"2022.10.28 09:49:59";28.10.2022;"09:49:59";"buy";0,04;".de40cash";13.072,30;0,00;0,00;"2022.10.28 10:03:54";28.10.2022;"10:03:54";13.088,40;"0.00";"0.00";0,00;0,64
22616755;"2022.10.28 09:59:44";28.10.2022;"09:59:44";"buy";0,04;".de40cash";13.068,20;0,00;0,00;"2022.10.28 10:00:05";28.10.2022;"10:00:05";13.081,50;"0.00";"0.00";0,00;0,53
22618419;"2022.10.28 10:06:44";28.10.2022;"10:06:44";"buy";0,04;".de40cash";13.091,70;0,00;0,00;"2022.10.28 10:07:47";28.10.2022;"10:07:47";13.101,30;"0.00";"0.00";0,00;0,38
22621258;"2022.10.28 10:25:20";28.10.2022;"10:25:20";"buy";0,04;".de40cash";13.078,70;0,00;0,00;"2022.10.28 10:34:00";28.10.2022;"10:34:00";13.085,00;"0.00";"0.00";0,00;0,25
22622709;"2022.10.28 10:39:57";28.10.2022;"10:39:57";"buy";0,04;".de40cash";13.074,70;0,00;0,00;"2022.10.28 10:57:59";28.10.2022;"10:57:59";13.072,00;"0.00";"0.00";0,00;-0,11
22623857;"2022.10.28 10:51:22";28.10.2022;"10:51:22";"buy";0,04;".de40cash";13.056,20;0,00;0,00;"2022.10.28 10:57:29";28.10.2022;"10:57:29";13.061,40;"0.00";"0.00";0,00;0,21
